outcome,outcome_label,outcome_unit,pool,pool_label,anomes,actual_value,synth_value,effect_value,actual_index,synth_index,effect_index
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202311,43471.0,43579.00134848818,-108.00134848817834,97.58019259691577,97.8226253080612,-0.2424327111454403
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202312,42733.0,42963.05771443347,-230.05771443346748,95.92358975510112,96.4400047463096,-0.5164149912084781
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202401,43893.0,43234.27849012567,658.7215098743327,98.52746414060924,97.04881925548422,1.4786448851250071
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202402,43820.0,43540.10361190853,279.8963880914671,98.36359963186604,97.73531080811811,0.6282888237479227
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202403,43673.0,43792.23277513057,-119.2327751305711,98.03362589508184,98.30127000635385,-0.2676441112720056
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202404,44163.0,44014.83590174146,148.1640982585377,99.1335383510292,98.80095154041943,0.3325868106097545
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202405,43980.0,43956.07029554485,23.92970445514948,98.72275471952231,98.66903925013996,0.053715469382368
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202406,43973.0,43974.438514072055,-1.4385140720551135,98.70704168443736,98.71027074473514,-0.0032290602977838
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202407,44063.0,44082.08051766852,-19.08051766851713,98.90906642124402,98.95189682746756,-0.0428304062235298
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202408,44149.0,44236.70936584399,-87.70936584399169,99.10211228085927,99.29899518697164,-0.1968829061123642
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202409,44302.0,44393.64696600558,-91.64696600558092,99.4455543334306,99.6512760466129,-0.2057217131822994
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202410,44549.0,44549.0,0.0,100.0,100.0,0.0
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202411,44580.0,44599.22873984603,-19.228739846032116,100.06958629823342,100.11274942163917,-0.0431631234057476
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202412,43796.0,43923.06984096796,-127.06984096796076,98.3097263687176,98.59496249291334,-0.2852361241957482
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202501,45331.0,44177.79840892044,1153.20159107956,101.75537049092011,99.16675662511042,2.588613865809691
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202502,44954.0,44620.06044143459,333.9395585654129,100.90911131563,100.1595107442021,0.7496005714278908
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202503,44868.0,44779.90228692866,88.0977130713436,100.71606545601472,100.51831081938688,0.1977546366278488
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202504,45002.0,44981.42515700943,20.574842990572503,101.01685784192686,100.97067309481564,0.0461847471112122
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202505,45110.0,44983.77371699669,126.22628300330688,101.25928752609484,100.97594495274124,0.2833425733536074
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202506,45360.0,45005.223494714,354.776505286005,101.8204673505578,101.02409368271788,0.7963736678399158
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202507,45497.0,45008.42236751743,488.5776324825711,102.12799389436351,101.03127425423112,1.0967196401323918
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202508,45611.0,44987.14474401549,623.855255984512,102.38389189431862,100.9835119621439,1.4003799321747294
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202509,45850.0,45108.985221442446,741.0147785575537,102.9203798065052,101.25700963308368,1.6633701734215125
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202510,45810.0,45113.138714828834,696.861285171166,102.83059103459114,101.2663330598416,1.5642579747495375
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202511,45700.0,45161.26270941804,538.7372905819575,102.58367191182742,101.37435791918573,1.209313992641711
emprego_estoque,Estoque de vinculos formais,vinculos,south,"Regiao Sul (RS, SC e PR)",202512,44883.0,44381.23886887963,501.7611311203728,100.74973624548252,99.62342335154466,1.1263128939378504
